bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary,lzh commentary,
༄༅། །ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །<br>ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །,"OM! Homage to the venerable noble lady Tārā! Homage to Tārā, the swift heroine,",敬禮奮迅勇度母,རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། ཕྱག་འཚལ་སྒྲོལ་མ་ནི་འཁོར་བའི་སྡུག བསྔལ་ལས་སྒྲོལ་མ། མྱུར་མ་ནི་སེམས་ཅན་གྱི་དོན་ལ་མྱུར་བ། དཔའ་མོ་ནི་ཉོན་མོངས་པ་འཇོམས་པས་དཔའ་མོའོ།།,"Homage to the Noble Lady, Arya Tara. 'Homage to Tara' means she liberates from the suffering of samsara. 'Swift One' means she is swift in accomplishing the welfare of sentient beings. 'Heroine' means she is heroic in destroying the afflictions.",敬禮聖救度母 敬禮救度母者 救脫輪迴苦 迅速者 速行有情利 勇母者 以摧煩惱故為勇母 ,ཨོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། ཕྱག་འཚལ་སྒྲོལ་མ་ནི་འཁོར་བའི་དུ་ཁ་ལས་སྒྲོལ་མ། མྱུར་མ་ནི་སེམས་ཅན་གྱི་དོན་ལ་མྱུར་མ། དཔའ་མོ་ནི ཉོན་མོངས་པ་འཇོམས་པས་དཔའ་མོ།,"Homage to the Noble Lady, the Venerable Tara. 'Homage to Tara' means she who liberates from the suffering of samsara. 'Swift One' means swift in accomplishing the welfare of sentient beings. 'Heroine' means heroine because she conquers the afflictions.",敬禮聖救度母 敬禮救度母者 救脫輪迴苦 迅速者 速行眾生利 勇母者 摧滅煩惱故為勇母 ,NOTE: this means that the segment 1 of the commentary text is linked or mapped to segment 1 of version text
སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །,Whose eyes are like a flash of lightning.,慧眼剎那如閃電,སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། ། ཞེས་པ་ནི་འོད་གསལ་བའི་དཔེའོ། །,The line 'Eyes like flashes of lightning' is a simile for clear light.,眼如剎那電光 者 是光明之喻 ,སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །ཞེས་པ་ནི། འོད་གསལ་བའི་དཔེའོ། །,The line 'Whose eyes are like instantaneous lightning' is a simile for clear light.,眼如剎那電光 者 此為光明之喻,"NOTE: here you don't need to mention which section the segment belong to, just write in order from first chapter segment 1 verse to last chapter segment n"
འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །<br>གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །,Who arose from the opening stamens of the lotus-face of the Protector of the Three Worlds.,三界怙主蓮花面 從其花蕊綻放生,འཇིག་རྟེན་གསུམ་མགོན། ཞེས་པ་ནི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས་སོ། ཆུ་སྐྱེས་ཞལ་གྱི། ཞེས་པ་ནི་དེའི་སྤྱན་ཆབ་ལས་བྱུང་བའི་པདྨའམ། ཨུཏྤལ། གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །ཞེས་པ་ནི་པདྨ་ཁ་བྱེ་བ་ལས་སྒྲོལ་མ་བྱུང་བའོ། །,"Protector of the three worlds' refers to Avalokiteshvara, the protector of the three worlds. 'Lotus face' refers to the lotus or utpala that arose from his tears. 'Born from the opening of a thousand petals' means Tara emerged from the opened lotus.",三界怙主 者 是三界怙主觀世音 蓮花面 者 是從彼淚生蓮或優缽羅 從綻開花蕊生 者 是從開敷蓮花生救度母,འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། ། ཞེས་པ་ནི།  འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས། ཆུ་སྐྱེས་ཞལ་གྱི་ཞེས་པ་ནི། དེའི་སྤྱན་ཆབ་ལས་བྱུང་བའི། པད་མའམ་ཨུཏྤལ། གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །ཞེས་པ་ནི། པདྨ་ཁ་བྱེ་བ་ལས་སྒྲོལ་མ་བྱུང་བའོ། །,"The line 'Protector of the three worlds, born from the lotus face' means: Protector of the three worlds refers to Avalokiteshvara. 'Born from the lotus face' means: from his tears arose a lotus or utpala flower. 'Born from the opening of its anthers' means: Tara emerged from the opened lotus.",三界怙主蓮花面 者 三界怙主觀世音 蓮花面者 從彼淚水所生蓮花或青蓮 從花蕊綻放中生 者 從綻放蓮花中生救度母,
ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །<br>གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །,"Homage to her whose face is like a hundred full autumn moons gathered together,",敬禮百個秋滿月 圓滿疊聚之尊顏,ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །ཞེས་པ་ནི་འོད་དཀར་བའི་དཔེའོ། །གང་བ་ནི་ཉ་གང་བ་ལྟ་བུའོ། །བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །ཞེས་པ་ནི་ཟླ་བ་ཉ་གང་བ་དེ་ཡང་བརྒྱ་ཕྲག་དུ་མ་སྤུངས་པ་ཙམ་གྱི་ཞལ་ལོ། །,Homage to you whose face is like the autumn moon' is a simile for white light. 'Full' means like the full moon. 'Face like a hundred' means her face is as radiant as hundreds of full moons stacked together.,敬禮秋季月輪 者 是白光之喻 圓滿者 如十五圓月 百者 重疊面 者 是如十五圓月亦如百數堆積之面,ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །ཞེས་པ་ནི། འོད་དཀར་བའི་དཔེའོ། ། གང་བ་ནི་ཉ་གང་བ་ལྟ་བུའོ། ། བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། ། ཞེས་པ་ནི། ཟླ་བ་ཉ་གང་བ་དེ་ཡང་བརྒྱ་ཕྲག་དུ་མ་སྤུངས་པ་ཙམ་གྱི་ཞལ་ལོ། །,The line 'Homage to you whose face is like a hundred autumn moons' is a simile for white light. 'Full' means like the full moon. 'Hundred-fold' refers to her face. This means her face is as radiant as hundreds of full moons gathered together.,敬禮秋月遍滿 者 此為白光之喻 圓滿者 如十五圓月 百重疊面 者 如百千圓滿月輪積聚之面,
སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །<br>རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །,Shining with the brilliant light of a thousand gathered stars.,猶如千星齊匯聚 發出熾然璀璨光,སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །ཞེས་པ་ནི་དེ་གཉིས་འོད་ཟེར་དཔག་ཏུ་མེད་པ་འཕྲོ་བའི་དཔེའོ།།,"The one blazing with brilliant light, revealed by thousands of stars assembled. This is a simile for the immeasurable rays of light emanating from those two.",諸星宿眾 放大光明 此喻二者放無量光明,སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། ། རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། ། ཞེས་པ་ནི། དེ་གཉིས་འོད་ཟེར་དཔག་ཏུ་མེད་པ་འཕྲོ་བའི་དཔེའོ། །,"The constellations of thousands of stars, brilliantly illuminating with radiant light - this is a simile for the immeasurable light rays emanating from those two.",星宿千众所 极放光明焰 此乃喻彼二放无量光,
ཕྱག་འཚལ་སེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱིས། །<br>པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །<br>སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་ཞི་བ། །<br>བཟོད་པ་བསམ་གཏན་སྤྱོད་ཡུལ་ཉིད་མ། །,"Homage to her, golden-blue, hand adorned with a water-born lotus; whose sphere of action is generosity, diligence, austerity, peace, patience, and meditation.",敬禮金藍水生蓮 蓮華莊嚴聖者手 布施、精進、苦行、寂靜 安忍、禪定 為汝行境 ,ཕྱག་འཚལ་གསེར་སྔོ་ནི། ཁ་དོག་གསེར་བཙོ་མའི་འོད་ལྟར་གསལ་བའོ། །ཆུ་ནས་སྐྱེས་ཀྱི། ཞེས་པ་ནི་ཕྱག་མཚན་པདྨའོ། །པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །ཞེས་པ་ནི་ཕྱག་གཡོན་ན་པདྨ་བསྣམས་པའོ། །སྦྱིན་པ་ནི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །བརྩོན་འགྲུས་ནི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །དཀའ་ཐུབ་ནི་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །ཞི་བ་ནི་ཉོན་མོངས་པ་ཞི་བའོ། །བཟོད་པ་ནི་བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །བསམ་གཏན་ནི་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །སྤྱོད་ཡུལ་ཉིད་མ་ནི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟེ། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་པོ་དེ་སྤྱད་པ་ལས་སྒྲོལ་མའི་སྐུ་ཐོབ་སྟེ། དེ་མཚོན་པ་ལ་ཨུཏྤ་ལས་མཚན་པའོ། །,"Homage to the golden-blue one. This refers to her color, which is as bright as refined gold. 'Born from water' refers to her lotus emblem. 'Whose hands are adorned with lotuses' means she holds a lotus in her left hand. 'Giving' is the perfection of generosity. 'Diligence' is the perfection of diligence. 'Austerity' is the perfection of moral discipline. 'Peace' is the pacification of afflictions. 'Patience' is the perfection of patience. 'Meditation' is the perfection of meditation. 'Whose sphere is reality itself' is the perfection of wisdom. From practicing these six perfections, one attains the form of Tara, which is symbolized by the utpala flower.",敬禮金青尊 色如精金光明 水生者 指手印蓮花 手飾蓮花者 指左手持蓮花 布施即布施波羅蜜 精進即精進波羅蜜 苦行即持戒波羅蜜 寂靜即煩惱寂靜 忍辱即忍辱波羅蜜 禪定即禪定波羅蜜 行境者即般若波羅蜜 由行此六波羅蜜而得度母身 以青蓮花為標誌 ,ཕྱག་འཚལ་གསེར་སྔོ་ནི་ཁ་དོག་གསེར་བཙོ་མའི་འོད་ལྟར་གསལ་བའོ། ། ཆུ་ནས་སྐྱེས་ཀྱི་ཞེས་པ་ནི། ཕྱག་མཚན་པད་མའོ། ། པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །ཞེས་པ་ནི། ཕྱག་གཡོན་ན་པདྨ་བསྣམས་པའོ། ། སྦྱིན་པ་ནི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། ། བརྩོན་འགྲུས་༔ནི་ བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། ། དཀའ་ཐུབ་ནི་ཚུལ་ཁྲིམས། ཞི་བ་ནི་ཉོན་མོངས་པ། བཟོད་པ་ནི་བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། ། བསམ་གཏན་ནི་ བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། ། སྤྱོད་ཡུལ་ཉིད་མ་ནི་ཤེས་རབ་སྟེ། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་པོ་དེ་སྤྱད་པ་ལས་སྒྲོལ་མའི་སྐུ་ཐོབ་སྟེ། དེ་མཚན་པ་ལས་ཨུཏྤལ་མཚོན་པའོ། །,"Homage to you with golden-blue [complexion] that shines like the light of pure gold. 'Born from water' refers to the lotus emblem. 'Whose hands are adorned with lotuses' means that she holds a lotus in her left hand. 'Giving' refers to the perfection of generosity. 'Diligence' refers to the perfection of diligence. 'Austerity' means moral discipline. 'Peace' refers to afflictive emotions. 'Patience' refers to the perfection of patience. 'Meditation' refers to the perfection of meditation. 'She whose domain is itself' refers to wisdom. From practicing these six perfections, one attains the form of Tara, which is symbolized by the utpala flower.",礼敬金蓝色 如精金光明 水生者 手印莲花也 莲严饰手者 左手持莲也 布施 即布施波罗蜜 精进 即精进波罗蜜 苦行即戒律 寂静即烦恼 忍辱即忍辱波罗蜜 禅定即禅定波罗蜜 行境即智慧 由行此六波罗蜜得度母身 以青莲表之,
ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །<br>མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །,"Homage to her, the Tathāgata's crown protuberance, who enjoys limitless, complete victory.",敬禮如來頂髻尊 行持無邊勝利行 ,ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །ཞེས་པ་ནི་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དབུའི་གཙུག་ཏོར་ལྟ་བུའོ། །མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །ཞེས་པ་ནི་བདུད་དང་དགྲ་ལ་སོགས་པ་ཕྱིར་རྒོལ་པ་ཐམས་ཅད་ལས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་པའོ། །,Homage to the crown of the Tathagatas' means she is like the crown protuberance on the head of all the Tathagatas. 'Who engages in boundless complete victory' means she engages in complete victory over all adversaries such as demons and enemies.,敬禮如來頂髻者 如諸如來頂髻 無邊勝行者 即於魔敵等一切對敵皆勝行 ,ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། ། ཅེས་པ་ནི། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དབུའི་གཙུག་ཏོར་ལྟ་བུའོ། ། མཐའ་ཡས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་མ། ། ཞེས་པ་ནི། བདུད་དང་དགྲ་ལ་སོགས་པ་ཕྱིར་རྒོལ་བ་ཐམས་ཅད་ལས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་པའོ། །,Homage to the crown of the Tathagatas' means she is like the crown protuberance on the head of all the Tathagatas. 'She who engages in boundless complete victory' means she engages in complete victory over all adversaries such as demons and enemies.,礼敬如来顶髻者 如一切如来顶髻也 无边胜行者 于魔敌等一切反抗者皆胜行也,
མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །<br>རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །,"Having attained every single perfection, she is deeply revered by the Children of the Victors.",圓滿無餘波羅蜜 諸佛之子皆依止 ,མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པ་ནི། །ས་བཅུ་མ་ལུས་པའི་ངོ་བོ་ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུ་ཐོབ་པའོ། །རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །ཞེས་པ་ནི་རྒྱལ་བའི་ སྲས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་དོ། །ཤིན་ཏུ་བསྟེན་མ། ཞེས་པ་ནི་དེ་རྣམས་ཀྱིས་ཕུད་དུ་ཁུར་བའོ། །,"Who has attained all perfections without exception' means she has attained the ten perfections, which are the essence of the ten stages without exception. 'Extremely relied upon by the sons of the Victorious Ones' - 'sons of the Victorious Ones' refers to all bodhisattvas. 'Extremely relied upon' means she is held in highest esteem by them.",無餘波羅蜜得者 即得十地無餘體性十波羅蜜 佛子極敬奉者 佛子即一切菩薩 極敬奉即彼等尊崇,མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །ཞེས་པ་ནི། ས་བཅུ་མ་ལུས་པའི་ངོ་བོ་ཕ་རོལ་ཕྱིན་པ་བཅུ་ཐོབ་པའོ། ། རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བརྟེན་མ། ། ཞེས་པ་ནི། རྒྱལ་བའི་སྲས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་དོ། ཤིན་ཏུ་བརྟེན་མ་ཞེས་པ་ནི། དེ་རྣམས་ཀྱིས་ཕུད་དུ་ཁུར་བའོ། །,Who has attained all the perfections without exception' means she has attained the ten perfections which are the essence of all ten grounds without exception. 'Upon whom the sons of the Conquerors rely' - 'sons of the Conqueror' refers to all bodhisattvas. 'Upon whom they rely' means she is held by them in highest esteem.,无余到彼岸者 得十地无余体性十波罗蜜也 佛子极所依者 佛子即一切菩萨 极所依即彼等所尊奉也,
ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །<br>འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། །,"Homage to her who, with TUTTĀRA and HŪṂ, fills the realms of desire, the directions, and space.",敬禮嘟達惹及吽字 聲滿欲界、方所、虛空 ,ཕྱག་འཚལ་ཏུཏྟཱ་རེ་ཧཱུྃ་གི་ཡི་གེ །ཞེས་པ་ནི་ཏུཏྟཱ་རེ་ཧཱུྃ། ཞེས་པ་ནི་སྔགས་སོ། །ཡི་གེ་ཞེས་པ་སྔགས་ཀྱི་ཡི་གེ་དེ་རྣམས་ཀྱི་མཐུ་དང་འོད་ཟེར་གྱིས་སོ། །འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། །ཞེས་པས་འདོད་ཁམས་དང་། གཟུགས་ཁམས་དང་། གཟུགས་མེད་ཀྱི་ཁམས་གང་བའོ། །,"Homage to the syllables TUTTARE HUM' - 'TUTTARE HUM' refers to the mantra. 'Syllables' means through the power and light rays of those mantra syllables. 'Filling the realms of desire, directions, and space' means filling the desire realm, form realm, and formless realm.",敬禮都達惹吽字者 都達惹吽是咒語 字者 即咒語字之力與光明 欲界方位虛空滿者 即充滿欲界、色界、無色界 ,ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། ། ཞེས་པ་ནི། ཏུཏྟཱ་རེ་ཧཱུཾ་ཞེས་སྔགས་སོ། ། ཡི་གེ་ཞེས་པ་ སྔགས་ཀྱི་ཡི་གེ་དེ་རྣམས་ཀྱི་མཐུ་དང་འོད་ཟེར་གྱིས་སོ། ། འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། ཞེས་པ་ནི་འདོད་ཁམས་དང་གཟུགས་ཁམས་དང་གཟུགས་མེད་ཀྱི་ཁམས་གང་བའོ། །,"Homage to you who with TUTTĀRA and HŪṂ' refers to the mantra 'tuttāre hūṃ.' 'Syllables' refers to the power and light rays of those mantra syllables. 'Filling the realms of desire, directions, and space' means filling the desire realm, form realm, and formless realm.",礼敬都达啰吽字者 都达啰吽是咒 字者 咒字之力与光明也 欲界方位虚空满者 充满欲界、色界、无色界也,
འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། །<br>ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །,"Trampling the seven worlds underfoot, she is able to summon all beings without exception.",雙足踏壓七世界 能無餘勾召一切 ,འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། །ཞེས་པས་འདོད་ཁམས་ཀྱི་འགྲོ་བ་ལྔ་དང་། གཟུགས་ཁམས་དང་དྲུག གཟུགས་མེད་ཀྱི་ཁམས་དང་བདུན་མནན་པའོ། །ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །ཞེས་པ་ནི་ལུས་པ་མེད་པ་ནི་སེམས་ཅན་གྱི་དོན་མ་ལུས་པར་བྱེད་པའོ། །འགུགས་པར་ནུས་མ་ནི་རྒྱལ་པོ་ལ་སོགས་པ་དབང་དུ་སྡུད་ནུས་པའོ། །,"By 'Trampling the seven worlds with your feet,' it means trampling the five types of beings in the desire realm, the form realm making six, and the formless realm making seven. By 'Able to summon without remainder,' 'without remainder' means accomplishing the welfare of sentient beings without exception. 'Able to summon' means having the power to subjugate kings and others.",以足踏七世界 此言欲界五趣、色界为六、无色界为七，皆为所踏 能无余摄召者 无余者 谓无余利益众生 能摄召者 谓能摄服国王等 ,འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། ། ཞེས་པ་ འདོད་ཁམས་ཀྱི་འགྲོ་བ་ལྔ་དང་། གཟུགས་ཁམས་དང་དྲུག གཟུགས་མེད་ཁམས་དང་བདུན་མནན་པའོ། ། ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། ། ཞེས་པ་ནི། ལུས་པ་མེད་པ་ནི་སེམས་ཅན་གྱི་དོན་མ་ལུས་པར་བྱེད་པའོ། །འགུགས་པར་ནུས་མ་ནི། རྒྱལ་པོ་ལ་སོགས་དབང་དུ་སྡུད་ནུས་པའོ། །,"""Having trampled the seven worlds under foot... This refers to trampling the five types of beings in the desire realm, the form realm making six, and the formless realm making seven. One who can summon without remainder... 'Without remainder' means accomplishing the welfare of sentient beings without exception. 'One who can summon' means having the power to control kings and others.""",七世界足下踏 能摄无余众生者,
