No.,bo text,zh text
,versionTitle: བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།,入菩薩行論
,,
1,"༄༅༅།།རྒྱ་གར་སྐད་དུ། བོ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བོ་] Q བོད་</i>དྷི་སཏྭ་ཙརྱ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སཏྭ་ཙརྱ་] I སཏྭ་ཙཪྻ་ N སཏྭ་ཙརྱྭ་ Q སཏྭ་ཙམླཻ་; The reading སཏྭ་ཙརྱ་ is supported by both GDR and TS commentaries which gloss ཙརྱ་ as སྤྱོད་པ་</i>ཨ་བ་ཏཱ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཏཱ་] C ཏ་; The long vowel ཏཱ་ is confirmed by KP and TS who consistently use the form ཨ་བ་ཏ་ར་ in their commentaries</i>ར།",梵語：菩提薩埵雜雅阿瓦打[冒-目+阿]
2,བོད་སྐད་དུ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།,藏語：降曲生巴覺巴那[覺/勿]巴
3,སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།,頂禮一切諸佛菩薩
4,"བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།།<br>ཕྱག་འོས་ཀུན་ལའང་གུས་པར་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གུས་པར་] F,G,N,Q; གུས་པས་ CDHL. The reading གུས་པར་ is supported by the Sanskrit आदरतः and commentaries like KS which gloss the term as སྒོ་གསུམ་གུས་པས་. The instrumental case in པས་ appears to be a later corruption.</i>ཕྱག་འཚལ་ཏེ།།<br>བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི།།<br>ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ།།",善逝具足法身及佛子 <br> 一切應禮敬處敬禮已 <br> 如來勝子律儀趣入處 <br> 遵依經教總攝當宣說
5,"སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།།<br>སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།།<br>དེ་ཕྱིར་གཞན་དོན་བསམ་པ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསམ་པ་] C,F,G བསམ་པའང་. The reading without འང་ is preferred as it better matches the Sanskrit परार्थचिन्ता which has no corresponding particle. Additionally, KP's commentary <span class=\""text-quotation-style\"">གཞན་དོན་རྒྱ་ཆེན་པོ་ཞིག་འོང་ངོ་སྙམ་པའི་བསམ་པ</span> supports this simpler reading.</i>བདག་ལ་མེད།།<br>རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས།།",昔所未聞此中既未述 <br> 韻音善巧亦非我所能 <br> 故我亦非意樂為利他 <br> 唯為自心煉修造斯論
6,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས།།<br>འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ།།<br>བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་།།<br>ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར།།,為修善法我心淨信力 <br> 因作斯論萬一能增長 <br>與我根機相等餘有情 <br> 由見斯論或能成義利
7,"དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ།།<br>སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ།།<br>གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསྒྲུབས་] F,G; སྒྲུབས་ C,D. The reading བསྒྲུབས་ is supported by the Sanskrit विचिन्त्यते and the commentaries KP, GDR which both use བསྒྲུབས་.</i>ན།།<br>ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བར་] C; པར་ F,G,D. The reading པར་ is preferable based on the Sanskrit समागमः and commentary usage.</i>ག་ལ་འགྱུར།།",暇滿此身獲得甚艱難 <br> 士夫義利即今能成辦 <br>若於此時不勤作饒益 <br> 後時此事何從得圓滿
8,"ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན།།<br>གློག་འགྱུ་སྐད་ཅིག་རབ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བར] C,F,G,N,Q རབ། རབ་ is supported by Sanskrit प्रकाशम् and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which gloss as རབ་ཏུ་སྣང་བ།</i>སྣང་སྟོན་པ་ལྟར།།<br>དེ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">དེ] I ད། དེ་ is correct as confirmed by Sanskrit तथा and commentaries' དེ་བཞིན།</i>བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན།།<br>འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་།།",猶如長夜黑暗陰雲覆 <br> 剎那電閃萬象暫顯明 <br> 如是以佛神力加持故 <br> 世人福慧萬一須臾生
